1984,J.Orwell,@pazyniuk,Free
FightClub,C.Palannik,@zaUshkoKus,Free
Fahrenheit451,R.Bradbury,@pazyniuk,Free
HarryPotter,J.Rowling,@solomiakantsir,Free
Python,J.M.Zelle,@pazyniuk,Borrowed
Robotics,A.Azimov,@pazyniuk,Free
Smile,R.Bradbury,@pazyniuk,Borrowed
Sapiens,Y.N.Harari,@pazyniuk,Borrowed
TheWitcher,A.Sapkovski,@pazyniuk,Free
WarriorOfLight,P.Koelho,@pazyniuk,Free
Марсіанин,Е.Вейр,@danik_sl,Free
Під_Куполом,С.Кінг,@solomiakantsir,Free
